place,type_of_meteorite,subgroup_of_meteorite,group_of_meteorite,mass_g,fell_found01,fell_found,year,longitude,latitude
Y-791043,H6,Chondrite,Stony,23.3,1,Found,1979,35.66667,-71.5
MET 00898,H6,Chondrite,Stony,23.28,1,Found,2000,155.75,-79.68333
Y-74613,H6,Chondrite,Stony,23.2,1,Found,1974,35.975,-71.72639
LEW 88318,H6,Chondrite,Stony,23.2,1,Found,1988,161.41493,-84.26618
SaU 077,H6,Chondrite,Stony,23.2,1,Found,2001,57.33,21.01183
MET 001061,H6,Chondrite,Stony,23.1,1,Found,2000,159.75,-79.68333
GRV 020181,H6,Chondrite,Stony,23.1,1,Found,2003,75.26444,-72.99444
CdDL 017,H6,Chondrite,Stony,23.1,1,Found,2008,-117.48305,35.28528
EET 96242,H6,Chondrite,Stony,23,1,Found,1996,157.16667,-76.18333
GRA 98083,H6,Chondrite,Stony,23,1,Found,1998,-141.5,-86.71667
QUE 99056,H6,Chondrite,Stony,23,1,Found,1999,168,-84
LEW 86183,H6,Chondrite,Stony,22.9,1,Found,1986,161.34923,-84.25846
LEW 88712,H6,Chondrite,Stony,22.9,1,Found,1988,161.55964,-84.23055
MET 001103,H6,Chondrite,Stony,22.9,1,Found,2000,159.75,-79.68333
ALHA78189,H6,Chondrite,Stony,22.7,1,Found,1978,159.66667,-76.71667
EET 96278,H6,Chondrite,Stony,22.7,1,Found,1996,157.16667,-76.18333
LEW 97223,H6,Chondrite,Stony,22.7,1,Found,1997,161.5,-84.26667
GRV 051565,H6,Chondrite,Stony,22.63,1,Found,2006,75.314167,-72.935
QUE 971012,H6,Chondrite,Stony,22.6,1,Found,1997,168,-84
MET 001035,H6,Chondrite,Stony,22.6,1,Found,2000,159.75,-79.68333
LEW 85462,H6,Chondrite,Stony,22.5,1,Found,1985,161.34037,-84.28587
LEW 86204,H6,Chondrite,Stony,22.5,1,Found,1986,161.36411,-84.26644
Y-790742,H6,Chondrite,Stony,22.44,1,Found,1979,35.66667,-71.5
Dho 803,H6,Chondrite,Stony,22.43,1,Found,2001,54.53503,19.0586
LEW 88368,H6,Chondrite,Stony,22.3,1,Found,1988,161.37715,-84.25157
MET 00943,H6,Chondrite,Stony,22.3,1,Found,2000,159.75,-79.68333
ALHA78169,H6,Chondrite,Stony,22.2,1,Found,1978,159.66667,-76.71667
META78024,H6,Chondrite,Stony,22.2,1,Found,1978,155.75,-79.68333
QUE 93242,H6,Chondrite,Stony,22.2,1,Found,1993,162.24816,-84.59107
Y-75304,H6,Chondrite,Stony,22.1,1,Found,1975,35.66667,-71.5
MET 00876,H6,Chondrite,Stony,22.1,1,Found,2000,159.75,-79.68333
MET 00937,H6,Chondrite,Stony,22.1,1,Found,2000,159.75,-79.68333
Jamkheir,H6,Chondrite,Stony,22,0,Fell,1866,75.33333,18.75
LEW 88688,H6,Chondrite,Stony,22,1,Found,1988,161.40329,-84.27345
PCA 91369,H6,Chondrite,Stony,22,1,Found,1991,-69.02361,-85.65818
MET 001015,H6,Chondrite,Stony,22,1,Found,2000,159.75,-79.68333
A-881639,H6,Chondrite,Stony,21.98,1,Found,1988,26,-72
RaS 391,H6,Chondrite,Stony,21.95,1,Found,2010,55.68623,20.09443
Y-792750,H6,Chondrite,Stony,21.92,1,Found,1979,35.66667,-71.5
JaH 510,H6,Chondrite,Stony,21.9,1,Found,2008,55.56403,19.63498
Y-74541,H6,Chondrite,Stony,21.83,1,Found,1974,35.66667,0
Y-74104,H6,Chondrite,Stony,21.8,1,Found,1974,35.66667,-71.5
